id,virus,host
3934,West Nile virus,human
3935,DENV,A lituratus
3936,DENV,A jamaicensis
3937,DENV,G soricina
3938,ZIKA VIRUS,MONKEY
3939,Jutiapa,S hispidus
3940,Saboya,turkey
3941,den,Anseranas semipalmata
3942,den,Dendrocygna eytoni
3943,den,Porphyrio porphyrio
3944,den,magpie
3945,den,Nycticorax caledonicus
3946,den,T spinicollis
3947, PFU ,mouse
3948,WNV,mouse
3949,FCS,mouse
3950,Modoc,turkey
3951,WNV,blue tit
3952,WNV,common kingfisher
3953,DENV,Carollia sowelli
3954,DENV,A planirostris
3955,DENV,Myotis nigricans
3956, PFU ,green monkey
3957, PFU ,rhesus monkey
3958,Zika virus,human
3959,Zika virus,human
3960,USUV,common coot
3961,Zika virus,monkey
3962,WNV,common coot
3963,West Nile virus,Megascops asio
3964,FUAS,mice
3965,SLE,monkey
3966,Entebbe bat,monkey
3967,Rio Bravo virus,monkey
3968,Zika virus,monkeys
3969,TBE,dog
3970,USUV,coot
3971,USUV,coot
3972,USUV,coot
3973,USUV,coot
3974,WNV,coot
3975,WNV,coot
3976,WNV,coot
3977,WNV,coot
3978,USUV,coot
3979,USUV,coot
3980,Koutango virus,turkey
3981,TBE,mouflon
3982,TBEV,mouflon
3983,SLE virus,turkey
3984,SLE,pig
3985,Rio Bravo,pig
3986,WNV,great reed warbler
3987,FUAS,mice
3988,Koutango,turkey
3989,WNV,Pica pica
3990,WNV,Pica pica
3991,Tembusu virus,human
3992,Tembusu virus,human
3993,dengue,human
3994, TBE ,Ovis ammon
3995, TBE ,human
3996, TBE ,mouflon
3997,MVEV,human
3998,WNV,blue tit
3999,WNV,Panurus biarmicus
4000,WNV,blue tit
4001,WNV,Panurus biarmicus
4002,Rio Bravo,turkey
4003,Bukalasa bat,turkey
4004,Phnom Penh bat,turkey
4005,Saboya,turkey
4006,Jutiapa,turkey
4007,Apoi,turkey
4008,Cowbone Ridge,turkey
4009,Koutango,turkey
4010,Entebbe bat,turkey
4011,Carey Island,turkey
4012,Koutango,turkey
4013,Saboya,turkey
4014,Entebbe bat,turkey
4015,West Nile virus,human
4016,TBEV,mouflon
4017,TBEV,mouflon
4018,tick  borne encephalitis virus,dog
4019,WNV,Panurus biarmicus
4020,WNV,Netta rufina
4021,WNV,Common coot
4022,WNV,Emberiza schoeniclus
4023,WNV,Acrocephalus arundinaceus
4024,WNV,Song thrush
4025,WNV,Tufted duck
4026,WNV,Icterine warbler
4027,WNV,Saxicola torquatus
4028,WNV,Acrocephalus scirpaceus
4029,WNV,parus caeruleus
4030,WNV,Starling
4031,WNV,Blue tit
4032,WNV,Fulica atra
4033,WNV,Stonechat
4034,WNV,Common sandpiper
4035,WNV,Aythya fuligula
4036,WNV,Turdus philomelos
4037,WNV,Marsh warbler
4038,WNV,Little grebe
4039,WNV,Barred warbler
4040,WNV,mallard
4041,WNV,Hippolais icterina
4042,WNV,Sturnus vulgaris
4043,WNV,Locustella luscinioides
4044,WNV,Common pochard
4045,WNV,Sedge warbler
4046,WNV,Blackbird
4047,WNV,duck
4048,WNV,Swallow
4049,WNV,Red  backed shrike
4050,WNV,Black  headed gull
4051,WNV,Anas platyrhynchos
4052,WNV,Sylvia nisoria
4053,WNV,Tachybaptus ruficollis
4054,WNV,Acrocephalus palustris
4055,WNV,Remiz pendulinus
4056,WNV,Great reed warbler
4057,WNV,Aythya ferina
4058,WNV,Red  crested pochard
4059,WNV,Turdus merula
4060,WNV,Anas platyrhynchos
4061,WNV,Hirundo rustica
4062,WNV,Reed bunting
4063,WNV,goose
4064,WNV,Blackcap
4065,WNV,Acrocephalus schoenobaenus
4066,WNV,Lanius collurio
4067,WNV,Reed warbler
4068,WNV,Larus ridibundus
4069,WNV,Anser anser
4070,WNV,Gadwall
4071,WNV,Sylvia atricapilla
4072,WNV,Common kingfisher
4073,WEST NILE VIRUS,Panurus biarmicus
4074,WEST NILE VIRUS,Netta rufina
4075,WEST NILE VIRUS,Common coot
4076,WEST NILE VIRUS,Emberiza schoeniclus
4077,WEST NILE VIRUS,Acrocephalus arundinaceus
4078,WEST NILE VIRUS,Song thrush
4079,WEST NILE VIRUS,Tufted duck
4080,WEST NILE VIRUS,Icterine warbler
4081,WEST NILE VIRUS,Saxicola torquatus
4082,WEST NILE VIRUS,Acrocephalus scirpaceus
4083,WEST NILE VIRUS,parus caeruleus
4084,WEST NILE VIRUS,Starling
4085,WEST NILE VIRUS,Blue tit
4086,WEST NILE VIRUS,Fulica atra
4087,WEST NILE VIRUS,Stonechat
4088,WEST NILE VIRUS,Common sandpiper
4089,WEST NILE VIRUS,Aythya fuligula
4090,WEST NILE VIRUS,Turdus philomelos
4091,WEST NILE VIRUS,Marsh warbler
4092,WEST NILE VIRUS,Little grebe
4093,WEST NILE VIRUS,Barred warbler
4094,WEST NILE VIRUS,mallard
4095,WEST NILE VIRUS,Hippolais icterina
4096,WEST NILE VIRUS,Sturnus vulgaris
4097,WEST NILE VIRUS,Locustella luscinioides
4098,WEST NILE VIRUS,Common pochard
4099,WEST NILE VIRUS,Sedge warbler
4100,WEST NILE VIRUS,Blackbird
4101,WEST NILE VIRUS,duck
4102,WEST NILE VIRUS,Swallow
4103,WEST NILE VIRUS,Red  backed shrike
4104,WEST NILE VIRUS,Black  headed gull
4105,WEST NILE VIRUS,Anas platyrhynchos
4106,WEST NILE VIRUS,Sylvia nisoria
4107,WEST NILE VIRUS,Tachybaptus ruficollis
4108,WEST NILE VIRUS,Acrocephalus palustris
4109,WEST NILE VIRUS,Remiz pendulinus
4110,WEST NILE VIRUS,Great reed warbler
4111,WEST NILE VIRUS,Aythya ferina
4112,WEST NILE VIRUS,Red  crested pochard
4113,WEST NILE VIRUS,Turdus merula
4114,WEST NILE VIRUS,Anas platyrhynchos
4115,WEST NILE VIRUS,Hirundo rustica
4116,WEST NILE VIRUS,Reed bunting
4117,WEST NILE VIRUS,goose
4118,WEST NILE VIRUS,Blackcap
4119,WEST NILE VIRUS,Acrocephalus schoenobaenus
4120,WEST NILE VIRUS,Lanius collurio
4121,WEST NILE VIRUS,Reed warbler
4122,WEST NILE VIRUS,Larus ridibundus
4123,WEST NILE VIRUS,Anser anser
4124,WEST NILE VIRUS,Gadwall
4125,WEST NILE VIRUS,Sylvia atricapilla
4126,WEST NILE VIRUS,Common kingfisher
4127,SLE virus,turkey
4128,MVE virus,Nankeen night heron
4129,Carey Island,Cynopterus brachyotis
4130,Phnom Penh bat,Cynopterus brachyotis
4131,Dakar bat,Cynopterus brachyotis
4132,Saboya,Cynopterus brachyotis
4133,TBEV,mouflon
4134,TBEV,mouflon
4135,TBEV,mouflon
4136,louping ill virus,mouflon
4137,DENV,human
4138,DENV,human
4139,DENV,monkeys
4140,DENV,A lituratus
4141,DENV,A jamaicensis
4142,DENV,G soricina
4143,TBEV,mouflon
4144,TBEV,mouflon
4145,Koutango,turkey
4146, WNV ,Fulica atra
4147, WNV ,Fulica atra
4148,WNV,Fulica atra
4149,WNV,Fulica atra
4150,USUV,Fulica atra
4151,USUV,Fulica atra
4152,WEST NILE VIRUS,Fulica atra
4153,WEST NILE VIRUS,Fulica atra
4154, USUV ,Fulica atra
4155, USUV ,Fulica atra
4156,USUTU,Fulica atra
4157,USUTU,Fulica atra
4158,WNV,Fulica atra
4159,WNV,Fulica atra
4160,dengue,monkey
4161,Zika virus,monkey
4162,West Nile virus,human
4163,WNV,Magpie
4164,WNV,Starling
4165,louping ill virus,mouflon
4166,TBE,mouflon
4167, TBE ,mouflon
4168,Koutango,turkey
