id,virus,host
756,KFD,human
757,dengue,human
758,dengue,human
759,LIV,roe deer
760,Dengue,Human
761,Zika Virus,Human
762, ZIKV ,Human
763,Zika virus,Human
764,WNV,human
765,WNV,human
766,West Nile virus,Lobo
767,TBE,red deer
768,TBE,red deer
769,TBE,Cervus elaphus
770,dengue,human
771,tick  borne encephalitis,monkeys
772,TYUV,goat
773,LIV,goat
774,TBEV,goat
775,West Nile virus,mice
776,Tick  borne encephalitis virus,mice
777,KFD,monkey
778,KFD,monkeys
779,KFD,Semnopithecus entellus
780,KFD,Macaca radiata
781,WNV,P montanus
782,WNV,Passer domesticus
783,TBE virus,dog
784,TBE virus,dog
785,TBE virus,horse
786, USUV ,Turdus merula
787,Usutu Virus,Turdus merula
788,Japanese encephalitis virus,Turdus merula
789,Usutu virus,Turdus merula
790,WNV,monkeys
791,WNV,Alouatta caraya
792,WNV,black howler
793,WNV,monkeys
794,WNV,Alouatta caraya
795,WNV,black howler
796,WNV,pig
797,WNV,Talpa romana
798,WNV,Roman mole
799,tick  borne encephalitis,roe deer
800,Tick  borne encephalitis,goat
801,yellow fever virus,monkeys
802,MEAV,mouse
803,WNV,Carrion crow
804,WNV,Magpie
805,WNV,Carrion crow
806,WNV,Carrion crow
807,WNV,Magpie
808,WNV,Carrion crow
809,WNV,Carrion crow
810,WNV,Magpie
811,WNV,Carrion crow
812,WNV,Carrion crow
813,WNV,Magpie
814,WNV,Carrion crow
815,WNV,Carrion crow
816,WNV,Magpie
817,WNV,Carrion crow
818,WNV,Carrion crow
819,WNV,Magpie
820,WNV,Carrion crow
821,WNV,Carrion crow
822,WNV,Magpie
823,WNV,Carrion crow
824,WNV,Carrion crow
825,WNV,Magpie
826,WNV,Carrion crow
827,WNV,Carrion crow
828,WNV,Magpie
829,WNV,Carrion crow
830,WNV,Carrion crow
831,WNV,Magpie
832,WNV,Carrion crow
833,WNV,Carrion crow
834,WNV,Magpie
835,WNV,Carrion crow
836,WNV,Carrion crow
837,WNV,Magpie
838,WNV,Carrion crow
839,WNV,Carrion crow
840,WNV,Magpie
841,WNV,Carrion crow
842,WNV,Carrion crow
843,WNV,Magpie
844,WNV,Carrion crow
845,WNV,Carrion crow
846,WNV,Magpie
847,WNV,Carrion crow
848,WNV,Carrion crow
849,WNV,Magpie
850,WNV,Carrion crow
851,WNV,Carrion crow
852,WNV,Magpie
853,WNV,Carrion crow
854,WNV,Carrion crow
855,WNV,Magpie
856,WNV,Carrion crow
857,WNV,Carrion crow
858,WNV,Magpie
859,WNV,Carrion crow
860,WNV,Carrion crow
861,WNV,Magpie
862,WNV,Carrion crow
863,WNV,Carrion crow
864,WNV,Magpie
865,WNV,Carrion crow
866,WNV,Carrion crow
867,WNV,Magpie
868,WNV,Carrion crow
869,WNV,Carrion crow
870,WNV,Magpie
871,WNV,Carrion crow
872,WNV,Carrion crow
873,WNV,Magpie
874,WNV,Carrion crow
875,WNV,Rufous Hornero
876,WNV,Rufous Hornero
877,WNV,Great Kiskadee
878,WNV,Rufous Hornero
879,WNV,Great Kiskadee
880,SLEV,Rufous Hornero
881,SLEV,Rufous Hornero
882,SLEV,Great Kiskadee
883,SLEV,Rufous Hornero
884,SLEV,Great Kiskadee
885,SLEV,Rufous Hornero
886,SLEV,Rufous Hornero
887,SLEV,Great Kiskadee
888,SLEV,Rufous Hornero
889,SLEV,Great Kiskadee
890,WNV,Rufous Hornero
891,WNV,Rufous Hornero
892,WNV,Great Kiskadee
893,WNV,Rufous Hornero
894,WNV,Great Kiskadee
895,SLEV,Rufous Hornero
896,SLEV,Rufous Hornero
897,SLEV,Great Kiskadee
898,SLEV,Rufous Hornero
899,SLEV,Great Kiskadee
900,WNV,Rufous Hornero
901,WNV,Rufous Hornero
902,WNV,Great Kiskadee
903,WNV,Rufous Hornero
904,WNV,Great Kiskadee
905,SLEV,Rufous Hornero
906,SLEV,Rufous Hornero
907,SLEV,Great Kiskadee
908,SLEV,Rufous Hornero
909,SLEV,Great Kiskadee
910,ZIKV,human
911,SLEV,human
912,West Nile virus,chicken
913,SLEV,Java Sparrow
914,SLEV,Spotted Dove
915,JEV,Java Sparrow
916,JEV,Spotted Dove
917,WNV,Corvus brachyrhynchos
918,WNV,American Crow
919,EEEV,Cyanocitta cristata
920,WNV,Cyanocitta cristata
921,TBEV,mice
922,Dengue Virus,Macaca nemestrina leonina
923,Chikungunya Virus,Macaca nemestrina leonina
924,Dengue,Macaca nemestrina leonina
925,Japanese Encephalitis Virus,Macaca nemestrina leonina
926,CHIK,Macaca nemestrina leonina
927,DENV,Chlorocebus sabaeus
928,DENV,monkey
929,DENV,Papio papio
930,DENV,Guinea baboon
931,DENV,green monkey
932,USUV,chicken
933,USUV,chicken
934,DHF,Human
935,Dengue,Human
936, CHIK ,Human
937,Chikungunya,Human
938,CHIK,Human
939,Japanese Encephalitis,Human
940, DHF ,Human
941,SINV,human
942,SLEV,Rufous Hornero
943,WNV,Rufous Hornero
944,WNV,Rufous Hornero
